,Year,Commodity,Country,LRIC q15
0,2016,Meat and meat preparations,Germany,0.08635707933107158
1,2016,Meat and meat preparations,Netherlands,0.08387476937635813
2,2016,Meat and meat preparations,Brazil,0.07185349739990907
3,2016,Meat and meat preparations,Belgium,0.06841538824178872
4,2016,Meat and meat preparations,Argentina,0.06178277901478687
5,2016,Meat and meat preparations,Uruguay,0.06178277901478685
6,2016,Meat and meat preparations,Paraguay,0.06178238895518723
7,2016,Meat and meat preparations,Denmark,0.05614545336659421
8,2016,Meat and meat preparations,USA,0.05511423955863993
9,2016,Meat and meat preparations,Australia,0.054928658642751024
10,2016,Meat and meat preparations,New Zealand,0.052637267703363
11,2016,Meat and meat preparations,Canada,0.0514225518599098
12,2016,Meat and meat preparations,Spain,0.04248325263945741
13,2016,Meat and meat preparations,France,0.03911807453612785
14,2016,Meat and meat preparations,Poland,0.0253019481644388
15,2016,Meat and meat preparations,Russian Federation,0.010754439742148736
16,2016,Meat and meat preparations,Belarus,0.010454967454086157
17,2016,Meat and meat preparations,Ukraine,0.010439783513216174
18,2016,Meat and meat preparations,Saudi Arabia,0.00953348346726834
19,2016,Meat and meat preparations,China,0.008519373741423978
20,2016,Meat and meat preparations,India,0.008310580810880774
21,2016,Meat and meat preparations,South Africa,0.006989537453466988
22,2016,Meat and meat preparations,Italy,0.0054234637600092525
23,2016,Meat and meat preparations,Serbia,0.004745267020491026
24,2016,Meat and meat preparations,Czechia,0.004653396271108377
25,2016,Meat and meat preparations,Thailand,0.003697392590992321
26,2016,Meat and meat preparations,Slovakia,0.003572515155938826
27,2016,Meat and meat preparations,United Kingdom,0.002697107074434969
28,2016,Meat and meat preparations,Ireland,0.002696598251904182
29,2016,Meat and meat preparations,Bosnia Herzegovina,0.0024788493380638725
30,2016,Meat and meat preparations,Hungary,0.002444677084556929
31,2016,Meat and meat preparations,"China, Hong Kong SAR",0.0023887820352934807
32,2016,Meat and meat preparations,Lithuania,0.0023462306083983815
