,Year,Commodity,Country,LRIC q15
0,2016,Meat and meat preparations,Germany,0.0857660311455955
1,2016,Meat and meat preparations,Netherlands,0.08330071070472257
2,2016,Meat and meat preparations,Brazil,0.071364293056181
3,2016,Meat and meat preparations,Belgium,0.06794797684419998
4,2016,Meat and meat preparations,Uruguay,0.06136313727146366
5,2016,Meat and meat preparations,Argentina,0.06136200203292853
6,2016,Meat and meat preparations,Paraguay,0.06136174203332129
7,2016,Meat and meat preparations,Denmark,0.055767720962450265
8,2016,Meat and meat preparations,USA,0.0547370247253297
9,2016,Meat and meat preparations,Australia,0.054552778682466885
10,2016,Meat and meat preparations,New Zealand,0.052286813024210496
11,2016,Meat and meat preparations,Canada,0.051087089798698325
12,2016,Meat and meat preparations,Spain,0.04221071537115367
13,2016,Meat and meat preparations,France,0.03887417626536678
14,2016,Meat and meat preparations,Poland,0.02519914817815289
15,2016,Meat and meat preparations,Russian Federation,0.01085400424118538
16,2016,Meat and meat preparations,Belarus,0.010494472325952778
17,2016,Meat and meat preparations,Ukraine,0.010458243697645109
18,2016,Meat and meat preparations,Saudi Arabia,0.009521326518948086
19,2016,Meat and meat preparations,China,0.008542701005495822
20,2016,Meat and meat preparations,India,0.008323750165076353
21,2016,Meat and meat preparations,South Africa,0.007009581443557988
22,2016,Meat and meat preparations,Italy,0.005441091620074467
23,2016,Meat and meat preparations,Serbia,0.0047530327004268865
24,2016,Meat and meat preparations,Czechia,0.004662901979431373
25,2016,Meat and meat preparations,Thailand,0.0038147011997298895
26,2016,Meat and meat preparations,Slovakia,0.003611229861398773
27,2016,Meat and meat preparations,United Kingdom,0.002789809880075648
28,2016,Meat and meat preparations,Ireland,0.0027719012156490414
29,2016,Meat and meat preparations,Hungary,0.002583309957459448
30,2016,Meat and meat preparations,Bosnia Herzegovina,0.0025530414630254663
31,2016,Meat and meat preparations,Malaysia,0.0024889128807310213
32,2016,Meat and meat preparations,"China, Hong Kong SAR",0.0024641970730509633
33,2016,Meat and meat preparations,Lithuania,0.002400864327373457
34,2016,Meat and meat preparations,Portugal,0.0023574034523642803
35,2016,Meat and meat preparations,Namibia,0.0023360040583387345
36,2016,Meat and meat preparations,Kenya,0.002312764321878909
37,2016,Meat and meat preparations,Guatemala,0.0022757272793008424
38,2016,Meat and meat preparations,Israel,0.0018446171332879243
39,2016,Meat and meat preparations,Turkey,0.0014679768272267324
40,2016,Meat and meat preparations,Japan,0.0013979860154361835
41,2016,Meat and meat preparations,Estonia,0.0012411933147988936
42,2016,Meat and meat preparations,Croatia,0.0012283957683556221
43,2016,Meat and meat preparations,Nicaragua,0.0011914641988406496
44,2016,Meat and meat preparations,Bolivia (Plurinational State of),0.001183639628271991
45,2016,Meat and meat preparations,Jordan,0.0008091487000803174
46,2016,Meat and meat preparations,Rep. of Korea,0.0007368480048089192
47,2016,Meat and meat preparations,Peru,0.0006949377509712806
48,2016,Meat and meat preparations,United Arab Emirates,0.0005363304252225665
49,2016,Meat and meat preparations,Singapore,0.0003309697513142764
50,2016,Meat and meat preparations,Kyrgyzstan,0.0002712840673501902
51,2016,Meat and meat preparations,Viet Nam,0.0002686099903143863
52,2016,Meat and meat preparations,Sri Lanka,0.0002629047934454122
53,2016,Meat and meat preparations,Qatar,0.0002628760000245898
54,2016,Meat and meat preparations,Mauritius,0.00024040123339324638
55,2016,Meat and meat preparations,Sweden,0.00022329112306574775
56,2016,Meat and meat preparations,Romania,0.00020670674674322243
57,2016,Meat and meat preparations,Kazakhstan,0.00019224308601406166
58,2016,Meat and meat preparations,Lebanon,0.00018561080459835935
59,2016,Meat and meat preparations,Jamaica,0.0001656324101992432
60,2016,Meat and meat preparations,Bulgaria,0.0001335651980035288
61,2016,Meat and meat preparations,Norway,0.00012914459294456536
62,2016,Meat and meat preparations,Latvia,0.00012736219708244962
63,2016,Meat and meat preparations,Finland,0.00012200480785358091
64,2016,Meat and meat preparations,Greece,0.00011443269000426743
65,2016,Meat and meat preparations,Uganda,0.00011125517109847037
66,2016,Meat and meat preparations,Cyprus,0.0001071387261487617
67,2016,Meat and meat preparations,Kuwait,0.0001033810884502912
68,2016,Meat and meat preparations,Slovenia,0.00010230465901110609
69,2016,Meat and meat preparations,Botswana,9.77722061940736e-05
70,2016,Meat and meat preparations,Colombia,9.713578894539999e-05
71,2016,Meat and meat preparations,Switzerland,9.477394006072959e-05
72,2016,Meat and meat preparations,North Macedonia,9.260169325959455e-05
73,2016,Meat and meat preparations,Iceland,9.054766320066009e-05
74,2016,Meat and meat preparations,Albania,8.95314115415867e-05
75,2016,Meat and meat preparations,Montenegro,8.91819381895258e-05
76,2016,Meat and meat preparations,State of Palestine,8.905391889353443e-05
77,2016,Meat and meat preparations,Rep. of Moldova,7.929113090613073e-05
78,2016,Meat and meat preparations,Fiji,7.916360295747011e-05
79,2016,Meat and meat preparations,Armenia,7.774036049948333e-05
80,2016,Meat and meat preparations,Georgia,7.523509980930029e-05
81,2016,Meat and meat preparations,Belize,7.51248331408788e-05
82,2016,Meat and meat preparations,Pakistan,7.194380509256671e-05
83,2016,Meat and meat preparations,Myanmar,6.8661562811723e-05
84,2016,Meat and meat preparations,Lao People's Dem. Rep.,6.788047638121789e-05
85,2016,Meat and meat preparations,Mexico,6.408464255316735e-05
86,2016,Meat and meat preparations,Indonesia,6.251173142619564e-05
87,2016,Meat and meat preparations,Morocco,5.691295931857471e-05
88,2016,Meat and meat preparations,Barbados,5.665323053067343e-05
89,2016,Meat and meat preparations,Philippines,4.4056265681577175e-05
90,2016,Meat and meat preparations,Ecuador,4.199819157433737e-05
91,2016,Meat and meat preparations,Luxembourg,3.515626754602413e-05
92,2016,Meat and meat preparations,Dominican Rep.,2.975711379166829e-05
93,2016,Meat and meat preparations,Zimbabwe,2.8768643317218994e-05
94,2016,Meat and meat preparations,Lesotho,2.8235777605296136e-05
95,2016,Meat and meat preparations,Benin,2.391844339025863e-05
96,2016,Meat and meat preparations,United Rep. of Tanzania,2.3244130581860656e-05
97,2016,Meat and meat preparations,Azerbaijan,2.115727626868244e-05
98,2016,Meat and meat preparations,Brunei Darussalam,1.7486110920814324e-05
99,2016,Meat and meat preparations,"China, Macao SAR",1.4409230028583047e-05
100,2016,Meat and meat preparations,Zambia,1.2965537988792474e-05
101,2016,Meat and meat preparations,Madagascar,1.2757558946468117e-05
102,2016,Meat and meat preparations,Mauritania,1.2138511933873973e-05
103,2016,Meat and meat preparations,Nigeria,1.2137999319959539e-05
104,2016,Meat and meat preparations,Cambodia,1.204604834722547e-05
105,2016,Meat and meat preparations,Senegal,1.184002923076444e-05
106,2016,Meat and meat preparations,Guyana,1.134461049852e-05
107,2016,Meat and meat preparations,Dem. Rep. of the Congo,8.9312501271063e-06
108,2016,Meat and meat preparations,Mongolia,7.583710635388334e-06
109,2016,Meat and meat preparations,El Salvador,5.382378683218886e-06
110,2016,Meat and meat preparations,Congo,3.728570349461676e-06
111,2016,Meat and meat preparations,Aruba,3.68281983234088e-06
112,2016,Meat and meat preparations,Niger,3.2599979947742345e-06
113,2016,Meat and meat preparations,Bermuda,2.2218609201545784e-06
114,2016,Meat and meat preparations,Burundi,0.0
115,2016,Meat and meat preparations,Cabo Verde,0.0
116,2016,Meat and meat preparations,Comoros,0.0
117,2016,Meat and meat preparations,Gambia,0.0
118,2016,Meat and meat preparations,Grenada,0.0
119,2016,Meat and meat preparations,Kiribati,0.0
120,2016,Meat and meat preparations,Sao Tome and Principe,0.0
121,2016,Meat and meat preparations,Seychelles,0.0
122,2016,Meat and meat preparations,Tajikistan,0.0
123,2016,Meat and meat preparations,Uzbekistan,0.0
124,2017,Meat and meat preparations,Germany,0.09265544823231954
125,2017,Meat and meat preparations,Netherlands,0.08859184685084888
126,2017,Meat and meat preparations,Brazil,0.07223072013296844
127,2017,Meat and meat preparations,Belgium,0.06900006445446534
128,2017,Meat and meat preparations,Uruguay,0.06349396041138089
129,2017,Meat and meat preparations,Argentina,0.06349396041138088
130,2017,Meat and meat preparations,Paraguay,0.06344907503864089
131,2017,Meat and meat preparations,USA,0.061433447342429025
132,2017,Meat and meat preparations,Denmark,0.06128823699083782
133,2017,Meat and meat preparations,Australia,0.06123898699206971
134,2017,Meat and meat preparations,Canada,0.058437040485908545
135,2017,Meat and meat preparations,France,0.0463541066908653
136,2017,Meat and meat preparations,Spain,0.032476723393430065
137,2017,Meat and meat preparations,Poland,0.02465018217086794
138,2017,Meat and meat preparations,Russian Federation,0.013068349020183964
139,2017,Meat and meat preparations,Ukraine,0.013023826452381343
140,2017,Meat and meat preparations,Belarus,0.012971370287214895
141,2017,Meat and meat preparations,China,0.009353271573999778
142,2017,Meat and meat preparations,Saudi Arabia,0.00804568639390232
143,2017,Meat and meat preparations,South Africa,0.006685171851252634
144,2017,Meat and meat preparations,India,0.006656743561119306
145,2017,Meat and meat preparations,Slovakia,0.003959068169105751
146,2017,Meat and meat preparations,Czechia,0.00392325632440636
147,2017,Meat and meat preparations,Namibia,0.003891932497411954
148,2017,Meat and meat preparations,Italy,0.003382698532543462
149,2017,Meat and meat preparations,United Kingdom,0.003154776091397988
150,2017,Meat and meat preparations,Ireland,0.0031120765792968207
151,2017,Meat and meat preparations,Thailand,0.002937917731557288
152,2017,Meat and meat preparations,New Zealand,0.0029369147616812165
153,2017,Meat and meat preparations,Malaysia,0.0028925068681219966
154,2017,Meat and meat preparations,"China, Hong Kong SAR",0.0028525513434998623
155,2017,Meat and meat preparations,Lithuania,0.0027714986900169345
156,2017,Meat and meat preparations,Hungary,0.002730183309113137
157,2017,Meat and meat preparations,Portugal,0.002647996274232398
158,2017,Meat and meat preparations,Serbia,0.0026337189527856726
159,2017,Meat and meat preparations,Kenya,0.0026258627117993955
160,2017,Meat and meat preparations,Guatemala,0.00256400663585066
161,2017,Meat and meat preparations,Turkey,0.001741016908051641
162,2017,Meat and meat preparations,Israel,0.001611702040387342
163,2017,Meat and meat preparations,Japan,0.0015682544963560362
164,2017,Meat and meat preparations,Romania,0.0015601404041701993
165,2017,Meat and meat preparations,Estonia,0.0013917213483189228
166,2017,Meat and meat preparations,Croatia,0.001360564977651081
167,2017,Meat and meat preparations,Nicaragua,0.0013495571763827078
168,2017,Meat and meat preparations,Bolivia (Plurinational State of),0.0013119290271172862
169,2017,Meat and meat preparations,Benin,0.0012694739814095382
170,2017,Meat and meat preparations,Lebanon,0.000823945532938524
171,2017,Meat and meat preparations,United Arab Emirates,0.0005804656273044388
172,2017,Meat and meat preparations,Mauritius,0.0005351375715546417
173,2017,Meat and meat preparations,Jordan,0.0003962791441001142
174,2017,Meat and meat preparations,Viet Nam,0.00035069709982214905
175,2017,Meat and meat preparations,Singapore,0.0003427380456300271
176,2017,Meat and meat preparations,Rep. of Korea,0.0003144109756700648
177,2017,Meat and meat preparations,Sweden,0.00029911792000646934
178,2017,Meat and meat preparations,Kyrgyzstan,0.00029456570772592864
179,2017,Meat and meat preparations,Kuwait,0.00028694472946718807
180,2017,Meat and meat preparations,Sri Lanka,0.00027966823542919394
181,2017,Meat and meat preparations,Tajikistan,0.00027965257901637627
182,2017,Meat and meat preparations,Greece,0.00027714602455689545
183,2017,Meat and meat preparations,Norway,0.00019804325380489484
184,2017,Meat and meat preparations,Dem. Rep. of the Congo,0.00017292136533678495
185,2017,Meat and meat preparations,Mexico,0.0001686226321837539
186,2017,Meat and meat preparations,Brunei Darussalam,0.00016528932483747785
187,2017,Meat and meat preparations,Georgia,0.00016473430802205517
188,2017,Meat and meat preparations,Uganda,0.00014670083325988393
189,2017,Meat and meat preparations,Kazakhstan,0.00014375068279729266
190,2017,Meat and meat preparations,Armenia,0.00013731173752037004
191,2017,Meat and meat preparations,Switzerland,0.0001355970069400151
192,2017,Meat and meat preparations,Philippines,0.0001350158462468019
193,2017,Meat and meat preparations,Indonesia,0.00012823083987123732
194,2017,Meat and meat preparations,Latvia,0.0001243619109884197
195,2017,Meat and meat preparations,Bulgaria,0.00012340885488424565
196,2017,Meat and meat preparations,Fiji,0.00012314405803500616
197,2017,Meat and meat preparations,Finland,0.00012157706376021722
198,2017,Meat and meat preparations,Slovenia,0.00012097031157263469
199,2017,Meat and meat preparations,Botswana,0.00012077813940373446
200,2017,Meat and meat preparations,Bosnia Herzegovina,0.00011251083774777853
201,2017,Meat and meat preparations,Colombia,0.00011199989173035484
202,2017,Meat and meat preparations,Iceland,0.00010806006192743886
203,2017,Meat and meat preparations,Pakistan,0.00010262084323492137
204,2017,Meat and meat preparations,Rep. of Moldova,9.244329012179701e-05
