,Year,Commodity,Country,LRIC q15
0,2016,Meat and meat preparations,Brazil,0.1193877684283649
1,2016,Meat and meat preparations,USA,0.1122095004864262
2,2016,Meat and meat preparations,Germany,0.07071336039873495
3,2016,Meat and meat preparations,Netherlands,0.06738825247750996
4,2016,Meat and meat preparations,Australia,0.06594987588597301
5,2016,Meat and meat preparations,Poland,0.05358061826321174
6,2016,Meat and meat preparations,France,0.0412127747993496
7,2016,Meat and meat preparations,Spain,0.03423375277440409
8,2016,Meat and meat preparations,India,0.03197827273681135
9,2016,Meat and meat preparations,China,0.028303511811345484
10,2016,Meat and meat preparations,South Africa,0.02794974756504009
11,2016,Meat and meat preparations,Ukraine,0.027542582425806664
12,2016,Meat and meat preparations,Denmark,0.024519926775117717
13,2016,Meat and meat preparations,Italy,0.020685678134025793
14,2016,Meat and meat preparations,Russian Federation,0.019218559162000177
15,2016,Meat and meat preparations,Belgium,0.01655336633780796
16,2016,Meat and meat preparations,Argentina,0.015336621261534004
17,2016,Meat and meat preparations,New Zealand,0.014819950886064604
18,2016,Meat and meat preparations,Thailand,0.014719167720589824
19,2016,Meat and meat preparations,Uruguay,0.011502136893766146
20,2016,Meat and meat preparations,Paraguay,0.010640371454457802
21,2016,Meat and meat preparations,Hungary,0.009779513963086003
22,2016,Meat and meat preparations,Lithuania,0.009606910739211692
23,2016,Meat and meat preparations,Malaysia,0.009531811931396834
24,2016,Meat and meat preparations,Portugal,0.009503084888712938
25,2016,Meat and meat preparations,Serbia,0.009410286408349483
26,2016,Meat and meat preparations,"China, Hong Kong SAR",0.009404061580849757
27,2016,Meat and meat preparations,Namibia,0.009383915710067987
28,2016,Meat and meat preparations,Kenya,0.00935174480877814
29,2016,Meat and meat preparations,Guatemala,0.009340191798763003
30,2016,Meat and meat preparations,Canada,0.0070832020373145545
31,2016,Meat and meat preparations,United Kingdom,0.006028210422232389
32,2016,Meat and meat preparations,Turkey,0.005504136924218638
33,2016,Meat and meat preparations,Ireland,0.0054743702193333806
34,2016,Meat and meat preparations,Saudi Arabia,0.005269308824344277
35,2016,Meat and meat preparations,Belarus,0.005145542482739729
36,2016,Meat and meat preparations,Japan,0.0049393727452872885
37,2016,Meat and meat preparations,Slovakia,0.004886566677161009
38,2016,Meat and meat preparations,Czechia,0.004824490614164141
39,2016,Meat and meat preparations,Israel,0.0048011220367611155
40,2016,Meat and meat preparations,Bosnia Herzegovina,0.004773043171160835
41,2016,Meat and meat preparations,Croatia,0.004748901534123876
42,2016,Meat and meat preparations,Estonia,0.004747290580867489
43,2016,Meat and meat preparations,Nicaragua,0.0046947488921982635
44,2016,Meat and meat preparations,Bolivia (Plurinational State of),0.0046923339051633565
45,2016,Meat and meat preparations,United Arab Emirates,0.0015249086275140216
46,2016,Meat and meat preparations,Mauritius,0.0009814969758294143
47,2016,Meat and meat preparations,Sweden,0.0005828276414117632
48,2016,Meat and meat preparations,Jordan,0.0005431518591033314
49,2016,Meat and meat preparations,Singapore,0.0005155697902749138
50,2016,Meat and meat preparations,Jamaica,0.000450190105563913
